radius_mm,torsional_shear_MPa
0.0,0.0
0.25,0.3259493234522016
0.5,0.6518986469044032
0.7500000000000001,0.977847970356605
1.0,1.3037972938088065
1.25,1.6297466172610082
1.5000000000000002,1.95569594071321
1.7500000000000002,2.281645264165411
2.0,2.607594587617613
2.2500000000000004,2.933543911069815
2.5,3.2594932345220164
2.7500000000000004,3.585442557974218
3.0000000000000004,3.91139188142642
3.2500000000000004,4.2373412048786205
3.5000000000000004,4.563290528330822
3.75,4.8892398517830244
4.0,5.215189175235226
4.25,5.5411384986874275
4.500000000000001,5.86708782213963
4.750000000000001,6.193037145591831
5.0,6.518986469044033
5.25,6.844935792496234
5.500000000000001,7.170885115948436
5.750000000000001,7.496834439400637
6.000000000000001,7.82278376285284
6.25,8.14873308630504
6.500000000000001,8.474682409757241
6.750000000000001,8.800631733209444
7.000000000000001,9.126581056661644
7.250000000000001,9.452530380113847
7.5,9.778479703566049
7.75,10.10442902701825
8.0,10.430378350470452
8.25,10.756327673922653
8.5,11.082276997374855
8.75,11.408226320827058
9.000000000000002,11.73417564427926
9.250000000000002,12.060124967731461
9.500000000000002,12.386074291183663
9.750000000000002,12.712023614635866
10.0,13.037972938088066
10.250000000000002,13.363922261540267
10.5,13.689871584992469
10.75,14.015820908444669
11.000000000000002,14.341770231896872
11.25,14.667719555349072
11.500000000000002,14.993668878801275
11.75,15.319618202253476
12.000000000000002,15.64556752570568
12.25,15.97151684915788
12.5,16.29746617261008
