angle_deg,normal_MPa,shear_MPa
0.0,47.26265190056923,16.29746617261008
1.0,47.8170297022475,15.462816814482842
2.0,48.34194094942607,14.609328395931492
3.0,48.83674611860663,13.738040761124223
4.0,49.300842365909425,12.85001543983248
5.0,49.73366426154566,11.946334354120438
6.0,50.134684478706625,11.028098500189639
7.0,50.50341443603013,10.096426606984709
8.0,50.839404892861644,9.152453773194463
9.0,51.14224649658491,8.197330084309002
10.0,51.41157028135495,7.232219211417715
11.0,51.647048117626184,6.258296993455281
12.0,51.84839311192767,5.276750004623072
13.0,52.01535995639871,4.2887741087312605
14.0,52.147745227658554,3.2955730022229646
15.0,52.24538763464657,2.2983567476555686
16.0,52.30816821513051,1.2983402994258684
17.0,52.33601048064365,0.29674202353530565
18.0,52.328880509674235,-0.7052177868013252
19.0,52.286786988993605,-1.7063183978952132
20.0,52.20978120307271,-2.705340122859463
21.0,52.097956971599864,-3.7010658076097127
22.0,51.95145053517589,-4.692282313778868
23.0,51.770440389326,-5.677781996739371
24.0,51.55514706703044,-6.656364176932115
25.0,51.30583287003902,-7.6268366027095675
26.0,51.02280154929688,-8.588016902910734
27.0,50.706397934870715,-9.538734027398295
28.0,50.35700751582644,-10.477829673802814
29.0,49.97505597057022,-11.40415969873573
30.0,49.5610086482248,-12.316595511751876
31.0,49.11537000167336,-13.214025450363048
32.0,48.63868297296138,-14.095356134427536
33.0,48.131528331805306,-14.959513798265395
34.0,47.594523968014215,-15.805445598876517
35.0,47.02832413868621,-16.632120898667655
36.0,46.43361867109692,-17.438532521125598
37.0,45.81113212225125,-18.22369797790656
38.0,45.16162289612227,-18.986660665846923
39.0,44.485882319652795,-19.726491032436815
40.0,43.78473367864539,-20.44228770833669
41.0,43.059031214715446,-21.13317860555699
42.0,42.309659084529386,-21.79832197996302
43.0,41.537530282595895,-22.436907456810562
44.0,40.74358552892283,-23.048157018062632
45.0,39.9287921228947,-23.631325950284616
46.0,39.094142764767454,-24.185703751962887
47.0,38.240654346216104,-24.710614999141455
48.0,37.36936671140884,-25.205420168322014
49.0,36.4813413901171,-25.669516415624813
50.0,35.57766030440506,-26.102338311261054
51.0,34.659424450474255,-26.503358528422012
52.0,33.72775255726932,-26.872088485745504
53.0,32.78377972347908,-27.20807894257703
54.0,31.82865603459362,-27.510920546300287
55.0,30.86354516170233,-27.780244331070335
56.0,29.889622943739894,-28.01572216734157
57.0,28.908075954907684,-28.21706716164306
58.0,27.92010005901587,-28.384034006114092
59.0,26.926898952507578,-28.516419277373938
60.0,25.929682697940187,-28.614061684361957
61.0,24.929666249710486,-28.67684226484589
62.0,23.928067973819925,-28.704684530359028
63.0,22.926108163483292,-28.69755455938962
64.0,21.925007552389406,-28.655461038709
65.0,20.92598582742515,-28.578455252788096
66.0,19.9302601426749,-28.466631021315244
67.0,18.93904363650574,-28.32012458489127
68.0,17.95354395354524,-28.139114439041382
69.0,16.97496177335251,-27.923821116745824
70.0,16.004489347575053,-27.674506919754407
71.0,15.043309047373887,-27.39147559901227
72.0,14.092591922886324,-27.075071984586096
73.0,13.153496276481807,-26.725681565541827
74.0,12.227166251548887,-26.343730020285598
75.0,11.314730438532735,-25.92968269794018
76.0,10.417300499921561,-25.48404405138875
77.0,9.535969815857072,-25.007357022676757
78.0,8.671812152019225,-24.500202381520698
79.0,7.825880351408106,-23.963198017729603
80.0,6.99920505161696,-23.396998188401597
81.0,6.192793429159015,-22.802292720812304
82.0,5.407627972378053,-22.179806171966636
83.0,4.644665284437694,-21.530296945837655
84.0,3.904834917847798,-20.854556369368172
85.0,3.1890382419479235,-20.153407728360765
86.0,2.4981473447276277,-19.427705264430827
87.0,1.8330039703216015,-18.678333134244774
88.0,1.194418493474055,-17.906204332311287
89.0,0.5831689322219837,-17.11225957863821
90.0,1.99586397824992e-15,-16.297466172610083
91.0,-0.554377801678271,-15.462816814482842
92.0,-1.079289048856839,-14.609328395931492
93.0,-1.5740942180373987,-13.738040761124223
94.0,-2.0381904653402,-12.850015439832477
95.0,-2.4710123609764425,-11.946334354120435
