x_m,deflection_mm,moment_magnitude_Nm
0.0,0.0,30.0
0.003,0.0004498792270531401,29.4
0.006,0.0017874396135265699,28.799999999999997
0.009,0.003994565217391304,28.199999999999996
0.012,0.007053140096618356,27.599999999999998
0.015,0.010945048309178742,27.0
0.018,0.015652173913043476,26.400000000000002
0.021,0.021156400966183573,25.8
0.024,0.027439613526570046,25.2
0.026999999999999996,0.0344836956521739,24.6
0.03,0.04227053140096618,24.0
0.033,0.05078200483091787,23.4
0.036,0.05999999999999999,22.799999999999997
0.039,0.06990640096618357,22.199999999999996
0.042,0.0804830917874396,21.599999999999998
0.045,0.09171195652173912,21.0
0.048,0.10357487922705312,20.4
0.051,0.11605374396135264,19.8
0.05399999999999999,0.12913043478260863,19.2
0.057,0.14278683574879228,18.6
0.06,0.15700483091787437,18.0
0.063,0.17176630434782608,17.4
0.066,0.18705314009661836,16.799999999999997
0.06899999999999999,0.20284722222222212,16.2
0.072,0.21913043478260866,15.6
0.075,0.23588466183574877,15.0
0.078,0.25309178743961347,14.399999999999999
0.081,0.27073369565217387,13.799999999999999
0.084,0.28879227053140094,13.199999999999998
0.087,0.30724939613526564,12.6
0.09,0.3260869565217391,12.0
0.09299999999999999,0.3452868357487921,11.400000000000002
0.096,0.36483091787439614,10.799999999999999
0.099,0.38470108695652167,10.199999999999998
0.102,0.40487922705314,9.6
0.105,0.4253472222222221,9.0
0.10799999999999998,0.4460869565217389,8.400000000000002
0.111,0.4670803140096618,7.799999999999999
0.114,0.48830917874396135,7.199999999999998
0.11699999999999999,0.5097554347826085,6.6000000000000005
0.12,0.5314009661835748,6.0
0.12299999999999998,0.5532276570048307,5.400000000000002
0.126,0.5752173913043478,4.799999999999999
0.129,0.5973520531400965,4.199999999999998
0.132,0.6196135265700482,3.599999999999998
0.135,0.6419836956521738,2.9999999999999973
0.13799999999999998,0.6644444444444441,2.400000000000002
0.141,0.6869776570048307,1.8000000000000016
0.144,0.7095652173913041,1.200000000000001
0.147,0.7321890096618355,0.6000000000000005
0.15,0.754830917874396,0.0
