y_mm,bending_MPa,transverse_shear_MPa
-6.0,41.666666666666664,0.0
-5.760000000000001,40.0,0.06533333333333317
-5.52,38.333333333333336,0.12800000000000017
-5.28,36.666666666666664,0.18800000000000003
-5.04,35.0,0.24533333333333343
-4.800000000000001,33.333333333333336,0.2999999999999999
-4.56,31.666666666666668,0.352
-4.32,30.0,0.4013333333333334
-4.08,28.333333333333336,0.4479999999999999
-3.8400000000000003,26.666666666666668,0.49200000000000005
-3.6000000000000005,25.000000000000004,0.5333333333333332
-3.3600000000000003,23.333333333333332,0.572
-3.12,21.666666666666668,0.608
-2.8800000000000003,20.0,0.6413333333333334
-2.64,18.333333333333332,0.672
-2.4000000000000004,16.666666666666668,0.7
-2.16,15.0,0.7253333333333334
-1.92,13.333333333333334,0.7480000000000001
-1.6800000000000002,11.666666666666666,0.768
-1.4400000000000004,10.000000000000002,0.7853333333333333
-1.2000000000000006,8.333333333333337,0.8
-0.96,6.666666666666667,0.8120000000000002
-0.7200000000000002,5.000000000000001,0.8213333333333334
-0.47999999999999954,3.3333333333333304,0.8280000000000001
-0.23999999999999977,1.6666666666666652,0.832
0.0,-0.0,0.8333333333333334
0.23999999999999977,-1.6666666666666652,0.832
0.48000000000000037,-3.333333333333336,0.8280000000000001
0.7200000000000002,-5.000000000000001,0.8213333333333334
0.9600000000000007,-6.666666666666672,0.812
1.1999999999999997,-8.33333333333333,0.8
1.4399999999999995,-9.999999999999996,0.7853333333333333
1.6800000000000002,-11.666666666666666,0.768
1.92,-13.333333333333334,0.7480000000000001
2.1600000000000006,-15.000000000000002,0.7253333333333334
2.3999999999999995,-16.66666666666666,0.7000000000000001
2.64,-18.333333333333332,0.672
2.880000000000001,-20.000000000000004,0.6413333333333334
3.1199999999999997,-21.666666666666664,0.608
3.3600000000000003,-23.333333333333332,0.572
3.599999999999999,-24.999999999999993,0.5333333333333334
3.84,-26.666666666666668,0.4920000000000001
4.08,-28.333333333333336,0.4479999999999999
4.320000000000001,-30.000000000000004,0.40133333333333326
4.56,-31.666666666666668,0.352
4.800000000000001,-33.333333333333336,0.2999999999999999
5.040000000000001,-35.00000000000001,0.24533333333333304
5.280000000000002,-36.66666666666668,0.18799999999999964
5.5200000000000005,-38.333333333333336,0.12799999999999997
5.76,-39.99999999999999,0.06533333333333353
6.0,-41.666666666666664,0.0
