elements,tip_mm,exact_tip_mm,absolute_error_mm,relative_error
1,0.24154589371980675,0.25114028281157436,0.009594389091767597,0.03820330607402429
2,0.2484472049689441,0.25114028281157436,0.0026930778426302463,0.01072340053328207
4,0.25044198957242425,0.25114028281157436,0.0006982932391501242,0.0027804907732545637
8,0.25096396885623296,0.25114028281157436,0.00017631395534138585,0.0007020536624690782
16,0.2510960921489029,0.25114028281157436,4.4190662671457145e-05,0.0001759600736955948
32,0.25112922807882376,0.25114028281157436,1.1054732750568914e-05,4.401815840457209e-05
64,0.2511375186858009,0.25114028281157436,2.7641257734295835e-06,1.1006301906187837e-05
