x_m,fea_mm,exact_mm
0.0,0.0,0.0
0.0078125,0.0056173463655768835,0.005617458889842484
0.015625,0.011148931717938852,0.011149151690852784
0.0234375,0.01659733533567884,0.016597657982352975
0.03125,0.02196502186278564,0.021965442687114072
0.0390625,0.027254348002635407,0.02725486276724186
0.046875,0.032467568730401006,0.03246817343829244
0.0546875,0.03760684306486496,0.037607533942624484
0.0625,0.04267423943660914,0.042675012918979516
0.0703125,0.04767174068598444,0.04767259340170988
0.078125,0.05260124872108253,0.05260217747989054
0.0859375,0.05746458886309204,0.057465590643709624
0.09375,0.06226351390388289,0.06226458584299247
0.1015625,0.0669997078983889,0.06700084728043912
0.109375,0.07167478971232062,0.0716759939601159
0.1171875,0.07629031634390927,0.07629158300990929
0.125,0.08084778603673577,0.08084911279500354
0.1328125,0.08534864119921662,0.08535002583795903
0.140625,0.08979427114497993,0.0897957115596309
0.1484375,0.09418601466715823,0.09418750885395871
0.15625,0.09852516245853202,0.09852670850856585
0.1640625,0.1028129593884694,0.10281455548211761
0.171875,0.10705060664671161,0.10705225104849125
0.1796875,0.11123926376324006,0.11124095481699706
0.1875,0.11538005051272247,0.11538178663715022
0.1953125,0.11947404871136329,0.11947582839582174
0.203125,0.12352230391337124,0.12352412571398305
0.2109375,0.12752582701369955,0.12752768954970226
0.21875,0.1314855957632046,0.13148749771353932
0.2265625,0.1354025562019042,0.1354044963020232
0.234375,0.13927762401559093,0.13927960105446813
0.2421875,0.14311168582066722,0.143113698637996
0.25,0.14690560038171133,0.14690764786527696
0.2578125,0.15066019976595704,0.15066228084917063
0.265625,0.15437629043856946,0.1543784040981522
0.2734375,0.15805465430232285,0.15805679955612972
0.28125,0.1616960496850335,0.16169822559000707
0.2890625,0.16530121227786645,0.16530341792811143
0.296875,0.16887085602742025,0.16887309055239103
0.3046875,0.17240567398429546,0.1724079365470884
0.3125,0.1759063391106695,0.17590862890641334
0.3203125,0.1793735050492313,0.1793758213035694
0.328125,0.18280780685567408,0.18281014882333163
0.3359375,0.1862098616967981,0.18621222866022982
0.34375,0.18958026951614426,0.18958266078425648
0.3515625,0.1929196136689526,0.19292202857589558
0.359375,0.196228461528128,0.19623089943215377
0.3671875,0.19950736506278596,0.1995098253451675
0.375,0.20275686139085508,0.2027593434548633
0.3828125,0.20597747330711916,0.20597997657705389
0.390625,0.20916970978799762,0.2091722337082694
0.3984375,0.21233406647428327,0.21233661050854286
0.40625,0.21547102613298205,0.21547358976329448
0.4140625,0.21858105909933143,0.21858364182539283
0.421875,0.2216646237000098,0.22166722503840325
0.4296875,0.22472216665848835,0.22472478614197738
0.4375,0.2277541234834231,0.22775676066028044
0.4453125,0.23076091884093103,0.23076357327430044
0.453125,0.2337429669115459,0.233745638178835
0.4609375,0.23670067173260473,0.23670335942490786
0.46875,0.23963442752677236,0.23963713124832065
0.4765625,0.2425446190173724,0.2425473383850106
0.484375,0.24543162173115496,0.2454343563738428
0.4921875,0.24829580228909728,0.24829855184743455
0.5,0.2511375186858009,0.25114028281157436
