midpoint_m,fea_MPa,exact_midpoint_MPa
0.00390625,49.61240310077503,49.6124031007752
0.01171875,48.8549618320609,48.854961832061065
0.01953125,48.12030075187957,48.12030075187969
0.02734375,47.40740740740728,47.40740740740741
0.03515625,46.715328467153135,46.715328467153284
0.04296875,46.04316546762575,46.04316546762589
0.05078125,45.390070921985675,45.39007092198581
0.05859375,44.755244755244604,44.75524475524475
0.06640625,44.13793103448264,44.137931034482754
0.07421875,43.5374149659863,43.53741496598639
0.08203125,42.95302013422802,42.95302013422818
0.08984375,42.3841059602648,42.3841059602649
0.09765625,41.830065359477075,41.83006535947712
0.10546875,41.29032258064495,41.29032258064516
0.11328125,40.76433121019094,40.76433121019108
0.12109375,40.251572327043704,40.25157232704402
0.12890625,39.75155279503079,39.75155279503105
0.13671875,39.263803680981525,39.26380368098159
0.14453125,38.78787878787881,38.78787878787879
0.15234375,38.32335329341327,38.32335329341318
0.16015625,37.869822485206996,37.869822485207095
0.16796875,37.42690058479519,37.42690058479532
0.17578125,36.99421965317926,36.994219653179194
0.18359375,36.571428571428676,36.57142857142857
0.19140625,36.15819209039566,36.15819209039548
0.19921875,35.754189944134204,35.754189944134076
0.20703125,35.35911602209961,35.35911602209944
0.21484375,34.972677595628575,34.97267759562842
0.22265625,34.59459459459482,34.59459459459459
0.23046875,34.224598930481285,34.22459893048128
0.23828125,33.86243386243394,33.86243386243387
0.24609375,33.50785340314143,33.507853403141354
0.25390625,33.16062176165807,33.16062176165803
0.26171875,32.820512820512896,32.82051282051282
0.26953125,32.48730964467008,32.48730964467005
0.27734375,32.16080402010046,32.1608040201005
0.28515625,31.840796019900576,31.8407960199005
0.29296875,31.527093596059206,31.52709359605911
0.30078125,31.21951219512191,31.21951219512195
0.30859375,30.91787439613527,30.917874396135268
0.31640625,30.622009569378054,30.62200956937799
0.32421875,30.331753554502463,30.331753554502367
0.33203125,30.046948356807388,30.046948356807512
0.33984375,29.767441860465233,29.767441860465112
0.34765625,29.49308755760331,29.493087557603687
0.35546875,29.223744292237207,29.22374429223744
0.36328125,28.959276018099093,28.959276018099548
0.37109375,28.699551569506475,28.699551569506728
0.37890625,28.44444444444422,28.44444444444444
0.38671875,28.193832599118718,28.19383259911894
0.39453125,27.947598253274858,27.947598253275107
0.40234375,27.70562770562755,27.705627705627702
0.41015625,27.467811158797836,27.46781115879828
0.41796875,27.23404255319123,27.23404255319149
0.42578125,27.004219409282523,27.004219409282697
0.43359375,26.778242677823794,26.778242677824267
0.44140625,26.556016597510133,26.556016597510375
0.44921875,26.337448559670364,26.33744855967078
0.45703125,26.122448979591518,26.122448979591834
0.46484375,25.91093117408861,25.91093117408907
0.47265625,25.70281124497967,25.70281124497992
0.48046875,25.49800796812741,25.49800796812749
0.48828125,25.296442687746758,25.296442687747035
0.49609375,25.098039215686484,25.098039215686274
